Date,City,Venue,Attendance,Gross,Capacity
02/23/2023,Cancún,Moon Palace Resort,0,0,0
02/24/2023,Cancún,Moon Palace Resort,0,0,0
02/25/2023,Cancún,Moon Palace Resort,0,0,0
02/26/2023,Cancún,Moon Palace Resort,0,0,0
04/14/2023,Seattle,Climate Pledge Arena,0,0,0
04/15/2023,Seattle,Climate Pledge Arena,0,0,0
04/17/2023,Berkeley,William Randolph Hearst Greek Theatre,0,0,0
04/18/2023,Berkeley,William Randolph Hearst Greek Theatre,0,0,0
04/19/2023,Berkeley,William Randolph Hearst Greek Theatre,0,0,0
04/21/2023,Los Angeles,Hollywood Bowl,0,0,0
04/22/2023,Los Angeles,Hollywood Bowl,0,0,0
04/23/2023,Los Angeles,Hollywood Bowl,0,0,0
07/11/2023,Huntsville,Orion Amphitheater,0,0,0
07/12/2023,Huntsville,Orion Amphitheater,0,0,0
07/14/2023,Alpharetta,Ameris Bank Amphitheatre,0,0,0
07/15/2023,Alpharetta,Ameris Bank Amphitheatre,0,0,0
07/16/2023,Alpharetta,Ameris Bank Amphitheatre,0,0,0
07/18/2023,Wilmington,Live Oak Bank Pavilion,0,0,0
07/19/2023,Wilmington,Live Oak Bank Pavilion,0,0,0
07/21/2023,Burgettstown,The Pavilion at Star Lake,0,0,0
07/22/2023,Burgettstown,The Pavilion at Star Lake,0,0,0
07/23/2023,Syracuse,Lakeview Amphitheater,0,0,0
07/25/2023,Philadelphia,Mann Center for the Performing Arts,0,0,0
07/26/2023,Philadelphia,Mann Center for the Performing Arts,0,0,0
07/28/2023,New York City,Madison Square Garden,0,0,0
07/29/2023,New York City,Madison Square Garden,0,0,0
07/30/2023,New York City,Madison Square Garden,0,0,0
08/01/2023,New York City,Madison Square Garden,0,0,0
08/02/2023,New York City,Madison Square Garden,0,0,0
08/04/2023,New York City,Madison Square Garden,0,0,0
08/05/2023,New York City,Madison Square Garden,0,0,0
08/31/2023,Commerce City,Dick's Sporting Goods Park,0,0,0
09/01/2023,Commerce City,Dick's Sporting Goods Park,0,0,0
09/02/2023,Commerce City,Dick's Sporting Goods Park,0,0,0
09/03/2023,Commerce City,Dick's Sporting Goods Park,0,0,0
