Date,City,Venue,Attendance,Capacity,Gross
01/13/2017,Playa del Carmen,Barceló Maya Beach,0,0,0
01/14/2017,Playa del Carmen,Barceló Maya Beach,0,0,0
01/15/2017,Playa del Carmen,Barceló Maya Beach,0,0,0
07/14/2017,Chicago,Huntington Bank Pavilion at Northerly Island,"49,817 "," 78,174","2,306,566"
07/15/2017,Chicago,Huntington Bank Pavilion at Northerly Island,"49,817 "," 78,174","2,306,566"
07/16/2017,Chicago,Huntington Bank Pavilion at Northerly Island,"49,817 "," 78,174","2,306,566"
07/18/2017,Fairborn,Wright State University Nutter Center,"11,266 "," 11,295","679,471"
07/19/2017,Pittsburgh,Petersen Events Center,"10,375 "," 12,224","562,947"
07/21/2017,New York City,Madison Square Garden,"227,385 "," 236,278","15,041,405"
07/22/2017,New York City,Madison Square Garden,"227,385 "," 236,278","15,041,405"
07/23/2017,New York City,Madison Square Garden,"227,385 "," 236,278","15,041,405"
07/25/2017,New York City,Madison Square Garden,"227,385 "," 236,278","15,041,405"
07/26/2017,New York City,Madison Square Garden,"227,385 "," 236,278","15,041,405"
07/28/2017,New York City,Madison Square Garden,"227,385 "," 236,278","15,041,405"
07/29/2017,New York City,Madison Square Garden,"227,385 "," 236,278","15,041,405"
07/30/2017,New York City,Madison Square Garden,"227,385 "," 236,278","15,041,405"
08/01/2017,New York City,Madison Square Garden,"227,385 "," 236,278","15,041,405"
08/02/2017,New York City,Madison Square Garden,"227,385 "," 236,278","15,041,405"
08/04/2017,New York City,Madison Square Garden,"227,385 "," 236,278","15,041,405"
08/05/2017,New York City,Madison Square Garden,"227,385 "," 236,278","15,041,405"
08/06/2017,New York City,Madison Square Garden,"227,385 "," 236,278","15,041,405"
09/01/2017,Commerce City,Dick's Sporting Goods Park,0,0,0
09/02/2017,Commerce City,Dick's Sporting Goods Park,0,0,0
09/03/2017,Commerce City,Dick's Sporting Goods Park,0,0,0
12/28/2017,New York City,Madison Square Garden,"76,598 "," 76,598","5,930,356"
12/29/2017,New York City,Madison Square Garden,"76,598 "," 76,598","5,930,356"
12/30/2017,New York City,Madison Square Garden,"76,598 "," 76,598","5,930,356"
12/31/2017,New York City,Madison Square Garden,"76,598 "," 76,598","5,930,356"
