Date,City,Venue,Attendance,Capacity,Gross
07/28/2021,Rogers,Walmart Arkansas Music Pavilion,0,0,0
07/30/2021,Pelham,Oak Mountain Amphitheatre,0,0,0
07/31/2021,Alpharetta,Ameris Bank Amphitheatre,"25,924 "," 25,924","1,908,306"
08/01/2021,Alpharetta,Ameris Bank Amphitheatre,"25,924 "," 25,924","1,908,306"
08/03/2021,Nashville,Ascend Amphitheater,0,0,0
08/04/2021,Nashville,Ascend Amphitheater,0,0,0
08/06/2021,Noblesville,Ruoff Music Center,"70,100 "," 74,652","4,036,443"
08/07/2021,Noblesville,Ruoff Music Center,"70,100 "," 74,652","4,036,443"
08/08/2021,Noblesville,Ruoff Music Center,"70,100 "," 74,652","4,036,443"
08/10/2021,Hershey,Hersheypark Stadium,"41,703 "," 54,678","3,385,967"
08/11/2021,Hershey,Hersheypark Stadium,"41,703 "," 54,678","3,385,967"
08/13/2021,Atlantic City,Atlantic City Beach,"100,821 "," 100,821","8,440,509"
08/14/2021,Atlantic City,Atlantic City Beach,"100,821 "," 100,821","8,440,509"
08/15/2021,Atlantic City,Atlantic City Beach,"100,821 "," 100,821","8,440,509"
08/27/2021,George,The Gorge Amphitheatre,"48,912 "," 66,000","3,328,122"
08/28/2021,George,The Gorge Amphitheatre,"48,912 "," 66,000","3,328,122"
08/29/2021,George,The Gorge Amphitheatre,"48,912 "," 66,000","3,328,122"
08/31/2021,Mountain View,Shoreline Amphitheatre,"15,152 "," 24,000","1,409,647"
09/01/2021,Mountain View,Shoreline Amphitheatre,"15,152 "," 24,000","1,409,647"
09/03/2021,Commerce City,Dick's Sporting Goods Park,"70,088 "," 70,088","6,109,051"
09/04/2021,Commerce City,Dick's Sporting Goods Park,"70,088 "," 70,088","6,109,051"
09/05/2021,Commerce City,Dick's Sporting Goods Park,"70,088 "," 70,088","6,109,051"
10/15/2021,Sacramento,Golden 1 Center,0,0,0
10/16/2021,San Francisco,Chase Center,"25,857 "," 25,857","2,297,933"
10/17/2021,San Francisco,Chase Center,"25,857 "," 25,857","2,297,933"
10/19/2021,Eugene,Matthew Knight Arena,"19,294 "," 29,294","1,588,902"
10/20/2021,Eugene,Matthew Knight Arena,"19,294 "," 29,294","1,588,902"
10/22/2021,Phoenix,Ak-Chin Pavilion,0,0,0
10/23/2021,Chula Vista,North Island Credit Union Amphitheatre,0,0,0
10/24/2021,Inglewood,The Forum,0,0,0
10/26/2021,Santa Barbara,Santa Barbara Bowl,0,0,0
10/28/2021,Las Vegas,MGM Grand Garden Arena,"62,851 "," 62,851","5,426,815"
10/29/2021,Las Vegas,MGM Grand Garden Arena,"62,851 "," 62,851","5,426,815"
10/30/2021,Las Vegas,MGM Grand Garden Arena,"62,851 "," 62,851","5,426,815"
10/31/2021,Las Vegas,MGM Grand Garden Arena,"62,851 "," 62,851","5,426,815"
12/31/2021,Lititz,Rock Lititz,0,0,0
